id,customer_id,order_id,item_id,custom_cost,custom_note,order_date
1,1,1,10,1.99,n/a,2025-01-03 04:00:00
2,2,2,15,9.99,n/a,2025-01-04 19:00:00
3,3,3,15,3.99,n/a,2025-01-13 05:00:00
4,4,4,7,9.99,n/a,2025-01-26 03:00:00
5,5,5,11,3.99,n/a,2025-01-27 03:00:00
6,6,6,7,8.99,n/a,2025-01-27 16:00:00
7,7,7,8,3.99,n/a,2025-01-29 07:00:00
8,8,8,8,9.99,n/a,2025-01-30 19:00:00
9,9,9,9,8.99,n/a,2025-01-31 20:00:00
10,10,10,3,6.99,n/a,2025-02-01 13:00:00
11,11,11,10,4.99,n/a,2025-02-01 19:00:00
12,12,12,7,7.99,n/a,2025-02-04 02:00:00
13,13,13,2,2.99,n/a,2025-02-08 04:00:00
14,14,14,2,4.99,n/a,2025-02-12 06:00:00
15,15,15,2,6.99,n/a,2025-02-13 10:00:00
16,16,16,11,7.99,n/a,2025-02-13 12:00:00
17,17,17,8,2.99,n/a,2025-02-15 06:00:00
18,18,18,4,10.99,n/a,2025-02-18 18:00:00
19,19,19,7,5.99,n/a,2025-02-18 20:00:00
20,20,20,8,7.99,n/a,2025-02-20 21:00:00
21,21,21,4,5.99,n/a,2025-02-23 12:00:00
22,22,22,9,10.99,n/a,2025-02-24 01:00:00
23,23,23,1,5.99,n/a,2025-03-03 05:00:00
24,24,24,6,1.99,n/a,2025-03-04 16:00:00
25,25,25,9,1.99,n/a,2025-03-05 06:00:00
26,26,26,13,4.99,n/a,2025-03-07 01:00:00
27,27,27,5,4.99,n/a,2025-03-07 07:00:00
28,28,28,16,4.99,n/a,2025-03-07 20:00:00
29,29,29,10,6.99,n/a,2025-03-09 01:00:00
30,30,30,16,10.99,n/a,2025-03-09 03:00:00
31,31,31,9,5.99,n/a,2025-03-10 15:00:00
32,32,32,8,1.99,n/a,2025-03-11 05:00:00
33,33,33,11,5.99,n/a,2025-03-14 05:00:00
34,34,34,8,1.99,n/a,2025-03-14 14:00:00
35,35,35,5,4.99,n/a,2025-03-18 04:00:00
36,36,36,6,5.99,n/a,2025-03-19 11:00:00
37,37,37,11,8.99,n/a,2025-03-19 12:00:00
38,38,38,10,9.99,n/a,2025-03-23 07:00:00
39,39,39,3,9.99,n/a,2025-03-24 10:00:00
40,40,40,6,3.99,n/a,2025-03-24 12:00:00
41,41,41,16,7.99,n/a,2025-03-30 05:00:00
42,42,42,11,10.99,n/a,2025-04-01 01:00:00
43,43,43,10,6.99,n/a,2025-04-01 06:00:00
44,44,44,7,4.99,n/a,2025-04-18 09:00:00
45,45,45,8,5.99,n/a,2025-04-18 16:00:00
46,46,46,16,5.99,n/a,2025-04-20 19:00:00
47,47,47,9,4.99,n/a,2025-04-20 23:00:00
48,48,48,7,4.99,n/a,2025-04-21 01:00:00
49,49,49,5,8.99,n/a,2025-04-24 14:00:00
50,50,50,14,4.99,n/a,2025-04-28 09:00:00
51,51,51,7,5.99,n/a,2025-04-29 01:00:00
52,52,52,7,3.99,n/a,2025-04-30 12:00:00
53,53,53,5,5.99,n/a,2025-04-30 18:00:00
54,54,54,10,10.99,n/a,2025-05-12 03:00:00
55,55,55,8,7.99,n/a,2025-05-12 17:00:00
56,56,56,11,2.99,n/a,2025-05-20 07:00:00
57,57,57,7,2.99,n/a,2025-05-21 15:00:00
58,58,58,16,1.99,n/a,2025-05-28 21:00:00
59,59,59,1,8.99,n/a,2025-06-01 16:00:00
60,60,60,5,10.99,n/a,2025-06-12 10:00:00
61,61,61,11,1.99,n/a,2025-06-12 17:00:00
62,62,62,11,10.99,n/a,2025-06-14 01:00:00
63,63,63,10,7.99,n/a,2025-06-17 18:00:00
64,64,64,6,1.99,n/a,2025-06-18 10:00:00
65,65,65,4,10.99,n/a,2025-06-22 13:00:00
66,66,66,4,5.99,n/a,2025-06-23 15:00:00
67,67,67,12,9.99,n/a,2025-06-23 16:00:00
68,68,68,7,7.99,n/a,2025-06-25 15:00:00
69,69,69,8,9.99,n/a,2025-06-26 18:00:00
70,70,70,3,1.99,n/a,2025-07-01 10:00:00
71,71,71,15,7.99,n/a,2025-07-05 10:00:00
72,72,72,10,6.99,n/a,2025-07-06 12:00:00
73,73,73,11,2.99,n/a,2025-07-07 11:00:00
74,74,74,9,4.99,n/a,2025-07-15 07:00:00
75,75,75,2,2.99,n/a,2025-07-16 04:00:00
76,76,76,14,3.99,n/a,2025-07-19 08:00:00
77,77,77,13,9.99,n/a,2025-07-22 04:00:00
78,78,78,9,7.99,n/a,2025-07-23 23:00:00
79,79,79,4,10.99,n/a,2025-07-25 15:00:00
80,80,80,7,10.99,n/a,2025-07-26 21:00:00
81,81,81,2,6.99,n/a,2025-07-30 09:00:00
82,82,82,3,10.99,n/a,2025-08-01 21:00:00
83,83,83,9,1.99,n/a,2025-08-03 14:00:00
84,84,84,7,9.99,n/a,2025-08-08 02:00:00
85,85,85,6,3.99,n/a,2025-08-15 16:00:00
86,86,86,4,5.99,n/a,2025-08-19 13:00:00
87,87,87,9,10.99,n/a,2025-08-24 02:00:00
88,88,88,9,10.99,n/a,2025-08-26 18:00:00
89,89,89,11,7.99,n/a,2025-08-30 23:00:00
90,90,90,4,10.99,n/a,2025-08-30 23:00:00
91,91,91,16,1.99,n/a,2025-09-05 06:00:00
92,92,92,7,10.99,n/a,2025-09-05 06:00:00
93,93,93,12,4.99,n/a,2025-09-05 13:00:00
94,94,94,15,6.99,n/a,2025-09-12 12:00:00
95,95,95,1,9.99,n/a,2025-09-15 23:00:00
